TS,meter,pv_simulated,sum
2021-07-13 00:02:45,2.24,0,2.24
2021-07-13 00:02:47,3.12,0,3.12
2021-07-13 00:02:49,8.69,0,8.69
2021-07-13 00:02:51,1.78,0,1.78
2021-07-13 00:02:53,3.8,0,3.8
2021-07-13 00:02:55,3.97,0,3.97
2021-07-13 00:02:57,4.05,0,4.05
2021-07-13 00:02:59,5.59,0,5.59
2021-07-13 00:03:01,8.03,0,8.03
2021-07-13 00:03:03,0.95,0,0.95
2021-07-13 00:03:05,5.36,0,5.36
2021-07-13 00:03:07,3.07,0,3.07
2021-07-13 00:03:09,5.02,0,5.02
2021-07-13 00:03:11,4.78,0,4.78
2021-07-13 00:03:13,5.83,0,5.83
2021-07-13 00:03:15,6.07,0,6.07
2021-07-13 00:03:17,1.95,0,1.95
2021-07-13 00:03:19,1.4,0,1.4
2021-07-13 00:03:21,7.83,0,7.83
2021-07-13 00:03:23,1.47,0,1.47
2021-07-13 00:03:25,2.42,0,2.42
2021-07-13 00:03:27,3.4,0,3.4
2021-07-13 00:03:29,4.62,0,4.62
2021-07-13 00:03:31,4.54,0,4.54
2021-07-13 00:03:33,6.28,0,6.28
2021-07-13 00:03:35,1.12,0,1.12
2021-07-13 00:03:37,7.91,0,7.91
2021-07-13 00:03:39,6.06,0,6.06
2021-07-13 00:03:41,4.2,0,4.2
2021-07-13 00:03:43,1.32,0,1.32
2021-07-13 00:03:45,5.47,0,5.47
2021-07-13 00:03:47,7.91,0,7.91
2021-07-13 00:03:49,4.5,0,4.5
2021-07-13 00:03:51,1.84,0,1.84
2021-07-13 00:03:53,1.16,0,1.16
2021-07-13 00:03:55,1.0,0,1.0
2021-07-13 00:03:57,7.65,0,7.65
2021-07-13 00:03:59,4.74,0,4.74
2021-07-13 00:04:01,3.82,0,3.82
2021-07-13 00:04:03,4.03,0,4.03
2021-07-13 00:04:05,0.93,0,0.93
2021-07-13 00:04:07,1.21,0,1.21
2021-07-13 00:04:09,6.93,0,6.93
2021-07-13 00:04:11,3.72,0,3.72
2021-07-13 00:04:13,1.29,0,1.29
2021-07-13 00:04:15,7.49,0,7.49
2021-07-13 00:04:17,8.25,0,8.25
2021-07-13 00:04:19,1.45,0,1.45
2021-07-13 00:04:21,1.62,0,1.62
2021-07-13 00:04:23,3.52,0,3.52
2021-07-13 00:04:25,3.94,0,3.94
2021-07-13 00:04:27,4.8,0,4.8
2021-07-13 00:04:29,7.35,0,7.35
2021-07-13 00:04:31,3.63,0,3.63
2021-07-13 00:04:33,0.05,0,0.05
2021-07-13 00:04:35,5.6,0,5.6
2021-07-13 00:04:37,8.11,0,8.11
2021-07-13 00:04:39,4.3,0,4.3
2021-07-13 00:04:41,4.93,0,4.93
2021-07-13 00:04:43,6.04,0,6.04
2021-07-13 00:04:45,4.21,0,4.21
2021-07-13 00:04:47,6.41,0,6.41
2021-07-13 00:04:49,0.92,0,0.92
2021-07-13 00:04:51,4.77,0,4.77
2021-07-13 00:04:53,4.95,0,4.95
2021-07-13 00:04:55,7.75,0,7.75
2021-07-13 00:04:57,0.99,0,0.99
2021-07-13 00:04:59,3.33,0,3.33
2021-07-13 00:05:01,2.87,0,2.87
2021-07-13 00:05:03,6.01,0,6.01
2021-07-13 00:05:05,3.14,0,3.14
2021-07-13 00:05:07,3.83,0,3.83
2021-07-13 00:05:09,3.53,0,3.53
2021-07-13 00:05:11,4.25,0,4.25
2021-07-13 00:05:13,3.86,0,3.86
2021-07-13 00:05:15,4.38,0,4.38
2021-07-13 00:05:17,8.62,0,8.62
2021-07-13 00:05:19,2.98,0,2.98
2021-07-13 00:05:21,0.14,0,0.14
2021-07-13 00:05:23,4.54,0,4.54
2021-07-13 00:05:25,5.68,0,5.68
2021-07-13 00:05:27,3.04,0,3.04
2021-07-13 00:05:29,3.59,0,3.59
2021-07-13 00:05:31,1.36,0,1.36
2021-07-13 00:05:33,2.87,0,2.87
2021-07-13 00:05:35,0.07,0,0.07
2021-07-13 00:05:37,6.17,0,6.17
2021-07-13 00:05:39,7.2,0,7.2
2021-07-13 00:05:41,6.84,0,6.84
2021-07-13 00:05:43,5.67,0,5.67
2021-07-13 00:05:45,5.0,0,5.0
2021-07-13 00:05:47,4.14,0,4.14
2021-07-13 00:05:49,5.23,0,5.23
2021-07-13 00:05:51,3.8,0,3.8
2021-07-13 00:05:53,5.01,0,5.01
2021-07-13 00:05:55,0.19,0,0.19
2021-07-13 00:05:58,6.42,0,6.42
2021-07-13 00:06:00,1.16,0,1.16
2021-07-13 00:06:02,7.12,0,7.12
2021-07-13 00:06:04,3.51,0,3.51
2021-07-13 00:06:06,7.61,0,7.61
2021-07-13 00:06:08,6.77,0,6.77
2021-07-13 00:06:10,2.56,0,2.56
2021-07-13 00:06:12,2.58,0,2.58
2021-07-13 00:06:14,0.68,0,0.68
2021-07-13 00:06:16,5.85,0,5.85
2021-07-13 00:06:18,0.64,0,0.64
2021-07-13 00:06:20,0.94,0,0.94
2021-07-13 00:06:22,1.0,0,1.0
2021-07-13 00:06:24,5.28,0,5.28
2021-07-13 00:06:26,2.86,0,2.86
2021-07-13 00:06:28,2.52,0,2.52
2021-07-13 00:06:30,8.99,0,8.99
2021-07-13 00:06:32,1.53,0,1.53
2021-07-13 00:06:34,3.9,0,3.9
2021-07-13 00:06:36,8.47,0,8.47
2021-07-13 00:06:38,6.6,0,6.6
2021-07-13 00:06:40,0.78,0,0.78
2021-07-13 00:06:42,4.61,0,4.61
2021-07-13 00:06:44,5.19,0,5.19
2021-07-13 00:06:46,6.93,0,6.93
2021-07-13 00:06:48,4.46,0,4.46
2021-07-13 00:06:50,4.6,0,4.6
2021-07-13 00:06:52,2.38,0,2.38
2021-07-13 00:06:54,2.34,0,2.34
2021-07-13 00:06:56,2.11,0,2.11
2021-07-13 00:06:58,5.92,0,5.92
2021-07-13 00:07:00,2.11,0,2.11
2021-07-13 00:07:02,8.84,0,8.84
2021-07-13 00:07:04,1.62,0,1.62
2021-07-13 00:07:06,5.27,0,5.27
2021-07-13 00:07:08,3.7,0,3.7
2021-07-13 00:07:10,3.94,0,3.94
2021-07-13 00:07:12,8.51,0,8.51
2021-07-13 00:07:14,1.35,0,1.35
2021-07-13 00:07:16,3.76,0,3.76
2021-07-13 00:07:18,3.29,0,3.29
2021-07-13 00:07:20,0.96,0,0.96
2021-07-13 00:07:22,7.44,0,7.44
2021-07-13 00:07:24,7.46,0,7.46
2021-07-13 00:07:26,5.12,0,5.12
2021-07-13 00:07:28,1.43,0,1.43
2021-07-13 00:07:30,2.3,0,2.3
2021-07-13 00:07:32,4.29,0,4.29
2021-07-13 00:07:34,1.32,0,1.32
2021-07-13 00:07:36,6.18,0,6.18
2021-07-13 00:07:38,6.7,0,6.7
2021-07-13 00:07:40,3.13,0,3.13
2021-07-13 00:07:42,8.14,0,8.14
2021-07-13 00:07:44,1.27,0,1.27
2021-07-13 00:07:46,0.79,0,0.79
2021-07-13 00:07:48,4.06,0,4.06
2021-07-13 00:07:50,0.67,0,0.67
2021-07-13 00:07:52,3.01,0,3.01
2021-07-13 00:07:54,5.66,0,5.66
2021-07-13 00:07:56,4.65,0,4.65
2021-07-13 00:07:58,0.39,0,0.39
2021-07-13 00:08:00,2.47,0,2.47
2021-07-13 00:08:02,7.79,0,7.79
2021-07-13 00:08:04,1.89,0,1.89
2021-07-13 00:08:06,0.87,0,0.87
2021-07-13 00:08:08,6.5,0,6.5
2021-07-13 00:08:10,2.14,0,2.14
2021-07-13 00:08:12,1.01,0,1.01
2021-07-13 00:08:14,3.34,0,3.34
2021-07-13 00:08:16,6.54,0,6.54
2021-07-13 00:08:18,1.33,0,1.33
2021-07-13 00:08:20,4.45,0,4.45
2021-07-13 00:08:22,7.35,0,7.35
2021-07-13 00:08:24,6.78,0,6.78
2021-07-13 00:08:26,7.35,0,7.35
2021-07-13 00:08:28,4.04,0,4.04
2021-07-13 00:08:30,0.99,0,0.99
2021-07-13 00:08:32,7.84,0,7.84
2021-07-13 00:08:34,7.6,0,7.6
2021-07-13 00:08:36,5.79,0,5.79
2021-07-13 00:08:38,1.66,0,1.66
2021-07-13 00:08:40,1.12,0,1.12
2021-07-13 00:08:42,3.11,0,3.11
2021-07-13 00:08:44,7.92,0,7.92
2021-07-13 00:08:46,6.89,0,6.89
2021-07-13 00:08:48,1.29,0,1.29
2021-07-13 00:08:50,0.14,0,0.14
2021-07-13 00:08:52,4.19,0,4.19
2021-07-13 00:08:54,2.93,0,2.93
2021-07-13 00:08:56,2.07,0,2.07
2021-07-13 00:08:58,5.8,0,5.8
2021-07-13 00:09:00,7.15,0,7.15
2021-07-13 00:09:02,3.74,0,3.74
2021-07-13 00:09:04,2.44,0,2.44
2021-07-13 00:09:06,6.5,0,6.5
2021-07-13 00:09:08,6.11,0,6.11
2021-07-13 00:09:10,4.03,0,4.03
2021-07-13 00:09:12,0.16,0,0.16
2021-07-13 00:09:14,2.38,0,2.38
2021-07-13 00:09:16,2.55,0,2.55
2021-07-13 00:09:18,3.54,0,3.54
2021-07-13 00:09:20,4.4,0,4.4
2021-07-13 00:09:22,1.35,0,1.35
2021-07-13 00:09:24,5.06,0,5.06
2021-07-13 00:09:26,7.06,0,7.06
2021-07-13 00:09:28,4.33,0,4.33
2021-07-13 00:09:30,7.84,0,7.84
2021-07-13 00:09:32,7.97,0,7.97
2021-07-13 00:09:34,0.75,0,0.75
2021-07-13 00:09:36,0.16,0,0.16
2021-07-13 00:09:38,7.24,0,7.24
2021-07-13 00:09:40,2.12,0,2.12
2021-07-13 00:09:42,6.29,0,6.29
2021-07-13 00:09:44,4.52,0,4.52
2021-07-13 00:09:47,0.19,0,0.19
2021-07-13 00:09:49,5.87,0,5.87
2021-07-13 00:09:51,8.85,0,8.85
2021-07-13 00:09:53,3.73,0,3.73
2021-07-13 00:09:55,0.39,0,0.39
2021-07-13 00:09:57,1.22,0,1.22
2021-07-13 00:09:59,1.06,0,1.06
2021-07-13 00:10:01,4.12,0,4.12
2021-07-13 00:10:03,0.57,0,0.57
2021-07-13 00:10:05,0.61,0,0.61
2021-07-13 00:10:07,2.19,0,2.19
2021-07-13 00:10:09,1.93,0,1.93
2021-07-13 00:10:11,8.68,0,8.68
2021-07-13 00:10:13,6.54,0,6.54
2021-07-13 00:10:15,7.6,0,7.6
2021-07-13 00:10:17,7.26,0,7.26
2021-07-13 00:10:19,4.46,0,4.46
2021-07-13 00:10:21,6.38,0,6.38
2021-07-13 00:10:23,6.4,0,6.4
2021-07-13 00:10:25,7.87,0,7.87
2021-07-13 00:10:27,0.43,0,0.43
2021-07-13 00:10:29,7.84,0,7.84
2021-07-13 00:10:31,2.79,0,2.79
2021-07-13 00:10:33,6.69,0,6.69
2021-07-13 00:10:35,1.97,0,1.97
2021-07-13 00:10:37,3.35,0,3.35
2021-07-13 00:10:39,7.5,0,7.5
2021-07-13 00:10:41,4.79,0,4.79
2021-07-13 00:10:43,0.86,0,0.86
2021-07-13 00:10:45,4.57,0,4.57
2021-07-13 00:10:47,5.08,0,5.08
2021-07-13 00:10:49,2.17,0,2.17
2021-07-13 00:10:51,7.53,0,7.53
2021-07-13 00:10:53,5.39,0,5.39
2021-07-13 00:10:55,1.54,0,1.54
2021-07-13 00:10:57,6.21,0,6.21
2021-07-13 00:10:59,4.81,0,4.81
2021-07-13 00:11:01,2.21,0,2.21
2021-07-13 00:11:03,0.01,0,0.01
2021-07-13 00:11:05,7.32,0,7.32
2021-07-13 00:11:07,0.51,0,0.51
2021-07-13 00:11:09,3.8,0,3.8
2021-07-13 00:11:11,0.79,0,0.79
2021-07-13 00:11:13,2.6,0,2.6
2021-07-13 00:11:15,3.05,0,3.05
2021-07-13 00:11:17,4.88,0,4.88
2021-07-13 00:11:19,4.84,0,4.84
2021-07-13 00:11:21,3.72,0,3.72
2021-07-13 00:11:23,3.38,0,3.38
2021-07-13 00:11:25,3.73,0,3.73
2021-07-13 00:11:27,3.62,0,3.62
2021-07-13 00:11:29,4.61,0,4.61
2021-07-13 00:11:31,8.91,0,8.91
2021-07-13 00:11:33,2.62,0,2.62
2021-07-13 00:11:35,2.54,0,2.54
2021-07-13 00:11:37,3.4,0,3.4
2021-07-13 00:11:39,8.03,0,8.03
2021-07-13 00:11:41,6.84,0,6.84
2021-07-13 00:11:43,3.62,0,3.62
2021-07-13 00:11:45,7.63,0,7.63
2021-07-13 00:11:47,4.06,0,4.06
2021-07-13 00:11:49,3.87,0,3.87
2021-07-13 00:11:51,7.3,0,7.3
2021-07-13 00:11:53,3.04,0,3.04
2021-07-13 00:11:55,8.29,0,8.29
2021-07-13 00:11:57,7.02,0,7.02
2021-07-13 00:11:59,8.57,0,8.57
2021-07-13 00:12:01,0.34,0,0.34
2021-07-13 00:12:03,1.21,0,1.21
2021-07-13 00:12:05,6.99,0,6.99
2021-07-13 00:12:07,6.94,0,6.94
2021-07-13 00:12:09,4.54,0,4.54
2021-07-13 00:12:11,3.48,0,3.48
2021-07-13 00:12:13,0.41,0,0.41
2021-07-13 00:12:15,3.73,0,3.73
2021-07-13 00:12:17,7.17,0,7.17
2021-07-13 00:12:19,5.3,0,5.3
2021-07-13 00:12:21,0.9,0,0.9
2021-07-13 00:12:23,5.99,0,5.99
2021-07-13 00:12:25,0.12,0,0.12
2021-07-13 00:12:27,8.61,0,8.61
2021-07-13 00:12:29,4.02,0,4.02
2021-07-13 00:12:31,6.92,0,6.92
2021-07-13 00:12:33,3.93,0,3.93
2021-07-13 00:12:35,5.85,0,5.85
2021-07-13 00:12:37,0.18,0,0.18
2021-07-13 00:12:39,1.57,0,1.57
2021-07-13 00:12:41,6.81,0,6.81
2021-07-13 00:12:43,3.45,0,3.45
2021-07-13 00:12:45,4.26,0,4.26
2021-07-13 00:12:47,2.67,0,2.67
2021-07-13 00:12:49,5.31,0,5.31
2021-07-13 00:12:51,4.14,0,4.14
2021-07-13 00:12:53,7.69,0,7.69
2021-07-13 00:12:55,7.13,0,7.13
2021-07-13 00:12:57,3.38,0,3.38
2021-07-13 00:12:59,3.24,0,3.24
2021-07-13 00:13:01,0.69,0,0.69
2021-07-13 00:13:03,3.43,0,3.43
2021-07-13 00:13:05,4.77,0,4.77
2021-07-13 00:13:07,5.09,0,5.09
2021-07-13 00:13:09,3.77,0,3.77
2021-07-13 00:13:11,5.43,0,5.43
2021-07-13 00:13:13,1.77,0,1.77
2021-07-13 00:13:15,0.57,0,0.57
2021-07-13 00:13:17,3.25,0,3.25
2021-07-13 00:13:19,0.15,0,0.15
2021-07-13 00:13:21,1.8,0,1.8
2021-07-13 00:13:23,3.94,0,3.94
2021-07-13 00:13:25,0.58,0,0.58
2021-07-13 00:13:27,5.39,0,5.39
2021-07-13 00:13:29,6.75,0,6.75
2021-07-13 00:13:31,2.83,0,2.83
2021-07-13 00:13:33,0.14,0,0.14
2021-07-13 00:13:35,3.18,0,3.18
2021-07-13 00:13:37,6.16,0,6.16
2021-07-13 00:13:39,0.13,0,0.13
2021-07-13 00:13:42,3.55,0,3.55
2021-07-13 00:13:43,5.92,0,5.92
2021-07-13 00:13:46,2.96,0,2.96
2021-07-13 00:13:48,3.45,0,3.45
2021-07-13 00:13:50,6.82,0,6.82
2021-07-13 00:13:52,7.54,0,7.54
2021-07-13 00:13:54,7.39,0,7.39
2021-07-13 00:13:56,2.14,0,2.14
2021-07-13 00:13:58,1.76,0,1.76
2021-07-13 00:14:00,4.75,0,4.75
2021-07-13 00:14:02,6.07,0,6.07
2021-07-13 00:14:04,3.53,0,3.53
2021-07-13 00:14:06,1.79,0,1.79
2021-07-13 00:14:08,2.55,0,2.55
2021-07-13 00:14:10,1.49,0,1.49
2021-07-13 00:14:12,0.8,0,0.8
2021-07-13 00:14:14,1.43,0,1.43
2021-07-13 00:14:16,8.11,0,8.11
2021-07-13 00:14:18,4.37,0,4.37
2021-07-13 00:14:20,6.83,0,6.83
2021-07-13 00:14:22,1.89,0,1.89
2021-07-13 00:14:24,6.4,0,6.4
2021-07-13 00:14:26,8.86,0,8.86
2021-07-13 00:14:28,4.75,0,4.75
2021-07-13 00:14:30,0.05,0,0.05
2021-07-13 00:14:32,0.92,0,0.92
2021-07-13 00:14:34,3.51,0,3.51
2021-07-13 00:14:36,4.25,0,4.25
2021-07-13 00:14:38,1.87,0,1.87
2021-07-13 00:14:40,2.84,0,2.84
2021-07-13 00:14:42,1.77,0,1.77
2021-07-13 00:14:44,1.86,0,1.86
2021-07-13 00:14:46,7.21,0,7.21
2021-07-13 00:14:48,2.37,0,2.37
2021-07-13 00:14:50,5.84,0,5.84
2021-07-13 00:14:52,5.69,0,5.69
2021-07-13 00:14:54,5.18,0,5.18
2021-07-13 00:14:56,8.18,0,8.18
2021-07-13 00:14:58,2.17,0,2.17
2021-07-13 00:15:00,8.72,0,8.72
2021-07-13 00:15:02,1.3,0,1.3
2021-07-13 00:15:04,1.5,0,1.5
2021-07-13 00:15:06,6.12,0,6.12
2021-07-13 00:15:08,2.74,0,2.74
2021-07-13 00:15:10,6.86,0,6.86
2021-07-13 00:15:12,3.96,0,3.96
2021-07-13 00:15:14,3.6,0,3.6
2021-07-13 00:15:16,1.08,0,1.08
2021-07-13 00:15:18,5.86,0,5.86
2021-07-13 00:15:20,7.05,0,7.05
2021-07-13 00:15:22,4.87,0,4.87
2021-07-13 00:15:24,8.6,0,8.6
2021-07-13 00:15:26,6.05,0,6.05
2021-07-13 00:15:28,5.05,0,5.05
2021-07-13 00:15:30,1.49,0,1.49
2021-07-13 00:15:32,6.99,0,6.99
2021-07-13 00:15:34,3.38,0,3.38
2021-07-13 00:15:36,8.8,0,8.8
2021-07-13 00:15:38,2.1,0,2.1
2021-07-13 00:15:40,5.5,0,5.5
2021-07-13 00:15:42,0.01,0,0.01
2021-07-13 00:15:44,7.2,0,7.2
2021-07-13 00:15:46,8.6,0,8.6
2021-07-13 00:15:48,8.93,0,8.93
2021-07-13 00:15:50,8.02,0,8.02
2021-07-13 00:15:52,6.92,0,6.92
2021-07-13 00:15:54,7.74,0,7.74
2021-07-13 00:15:56,4.63,0,4.63
2021-07-13 00:15:58,4.31,0,4.31
2021-07-13 00:16:00,9.0,0,9.0
2021-07-13 00:16:02,5.86,0,5.86
2021-07-13 00:16:04,4.16,0,4.16
2021-07-13 00:16:06,7.5,0,7.5
2021-07-13 00:16:08,0.78,0,0.78
2021-07-13 00:16:10,5.99,0,5.99
2021-07-13 00:16:12,0.53,0,0.53
2021-07-13 00:16:14,0.3,0,0.3
2021-07-13 00:16:16,0.09,0,0.09
2021-07-13 00:16:18,1.97,0,1.97
2021-07-13 00:16:20,5.7,0,5.7
2021-07-13 00:16:22,5.67,0,5.67
2021-07-13 00:16:24,2.35,0,2.35
2021-07-13 00:16:26,2.62,0,2.62
2021-07-13 00:16:28,7.48,0,7.48
2021-07-13 00:16:30,2.49,0,2.49
2021-07-13 00:16:32,4.17,0,4.17
2021-07-13 00:16:34,6.17,0,6.17
2021-07-13 00:16:36,2.74,0,2.74
2021-07-13 00:16:38,8.09,0,8.09
2021-07-13 00:16:40,0.23,0,0.23
2021-07-13 00:16:42,5.84,0,5.84
2021-07-13 00:16:44,8.49,0,8.49
2021-07-13 00:16:46,6.65,0,6.65
2021-07-13 00:16:48,3.57,0,3.57
2021-07-13 00:16:50,2.83,0,2.83
2021-07-13 00:16:52,5.41,0,5.41
2021-07-13 00:16:54,2.6,0,2.6
2021-07-13 00:16:56,3.37,0,3.37
2021-07-13 00:16:58,7.09,0,7.09
2021-07-13 00:17:00,5.11,0,5.11
2021-07-13 00:17:02,2.56,0,2.56
2021-07-13 00:17:04,0.65,0,0.65
2021-07-13 00:17:06,4.39,0,4.39
2021-07-13 00:17:08,2.33,0,2.33
2021-07-13 00:17:10,0.4,0,0.4
2021-07-13 00:17:12,4.11,0,4.11
2021-07-13 00:17:14,8.57,0,8.57
2021-07-13 00:17:16,0.57,0,0.57
2021-07-13 00:17:18,8.93,0,8.93
2021-07-13 00:17:20,6.88,0,6.88
2021-07-13 00:17:22,4.71,0,4.71
2021-07-13 00:17:24,7.73,0,7.73
2021-07-13 00:17:26,6.55,0,6.55
2021-07-13 00:17:28,2.59,0,2.59
2021-07-13 00:17:31,2.26,0,2.26
2021-07-13 00:17:33,1.54,0,1.54
2021-07-13 00:17:35,6.82,0,6.82
2021-07-13 00:17:37,6.52,0,6.52
2021-07-13 00:17:39,5.5,0,5.5
2021-07-13 00:17:41,4.75,0,4.75
2021-07-13 00:17:43,0.23,0,0.23
2021-07-13 00:17:45,7.3,0,7.3
2021-07-13 00:17:47,7.04,0,7.04
2021-07-13 00:17:49,1.45,0,1.45
2021-07-13 00:17:51,4.88,0,4.88
2021-07-13 00:17:53,7.0,0,7.0
2021-07-13 00:17:55,1.63,0,1.63
2021-07-13 00:17:57,2.07,0,2.07
2021-07-13 00:17:59,3.58,0,3.58
2021-07-13 00:18:01,2.92,0,2.92
2021-07-13 00:18:03,8.26,0,8.26
2021-07-13 00:18:05,8.06,0,8.06
2021-07-13 00:18:07,5.26,0,5.26
2021-07-13 00:18:09,7.85,0,7.85
2021-07-13 00:18:11,8.72,0,8.72
2021-07-13 00:18:13,0.07,0,0.07
2021-07-13 00:18:15,4.98,0,4.98
2021-07-13 00:18:17,1.34,0,1.34
2021-07-13 00:18:19,1.33,0,1.33
2021-07-13 00:18:21,8.58,0,8.58
2021-07-13 00:18:23,3.28,0,3.28
2021-07-13 00:18:25,1.66,0,1.66
2021-07-13 00:18:27,4.87,0,4.87
2021-07-13 00:18:29,5.33,0,5.33
2021-07-13 00:18:31,5.74,0,5.74
2021-07-13 00:18:33,4.34,0,4.34
2021-07-13 00:18:35,0.52,0,0.52
2021-07-13 00:18:37,8.88,0,8.88
2021-07-13 00:18:39,2.7,0,2.7
2021-07-13 00:18:41,2.32,0,2.32
2021-07-13 00:18:43,1.32,0,1.32
2021-07-13 00:18:45,6.66,0,6.66
2021-07-13 00:18:47,6.82,0,6.82
2021-07-13 00:18:49,1.35,0,1.35
2021-07-13 00:18:51,8.86,0,8.86
2021-07-13 00:18:53,5.18,0,5.18
2021-07-13 00:18:55,7.78,0,7.78
2021-07-13 00:18:57,8.05,0,8.05
2021-07-13 00:18:59,7.49,0,7.49
2021-07-13 00:19:01,1.82,0,1.82
2021-07-13 00:19:03,2.69,0,2.69
2021-07-13 00:19:05,7.03,0,7.03
2021-07-13 00:19:07,5.83,0,5.83
2021-07-13 00:19:09,1.69,0,1.69
2021-07-13 00:19:11,6.96,0,6.96
2021-07-13 00:19:13,2.45,0,2.45
2021-07-13 00:19:15,5.19,0,5.19
2021-07-13 00:19:17,5.72,0,5.72
2021-07-13 00:19:19,7.3,0,7.3
2021-07-13 00:19:21,8.87,0,8.87
2021-07-13 00:19:23,1.68,0,1.68
2021-07-13 00:19:25,7.7,0,7.7
2021-07-13 00:19:27,0.28,0,0.28
2021-07-13 00:19:29,3.65,0,3.65
2021-07-13 00:19:31,3.64,0,3.64
2021-07-13 00:19:33,4.78,0,4.78
2021-07-13 00:19:35,4.03,0,4.03
2021-07-13 00:19:37,5.55,0,5.55
2021-07-13 00:19:39,0.85,0,0.85
2021-07-13 00:19:41,1.79,0,1.79
2021-07-13 00:19:43,8.3,0,8.3
2021-07-13 00:19:45,0.01,0,0.01
2021-07-13 00:19:47,6.18,0,6.18
2021-07-13 00:19:49,4.79,0,4.79
2021-07-13 00:19:51,2.57,0,2.57
2021-07-13 00:19:53,4.94,0,4.94
2021-07-13 00:19:55,2.07,0,2.07
2021-07-13 00:19:57,6.62,0,6.62
2021-07-13 00:19:59,1.18,0,1.18
2021-07-13 00:20:01,7.45,0,7.45
2021-07-13 00:20:03,3.05,0,3.05
2021-07-13 00:20:05,2.49,0,2.49
2021-07-13 00:20:07,2.6,0,2.6
2021-07-13 00:20:09,0.57,0,0.57
2021-07-13 00:20:11,1.29,0,1.29
2021-07-13 00:20:13,5.9,0,5.9
2021-07-13 00:20:15,8.43,0,8.43
2021-07-13 00:20:17,2.36,0,2.36
2021-07-13 00:20:19,5.22,0,5.22
2021-07-13 00:20:21,8.02,0,8.02
